00012 | 33 | Dolgova | Elena | Anatolyevna | 08.03.1975 | 1993 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 81 | 89 | 83 | 94 | 86.75
00013 | 16 | Nazarov | Victor | Dmitrievich | 19.04.1930 | 1946 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 89 | 94 | 94 | 84 | 90.25
00014 | 51 | Sokolova | Tatyana | Pavlovna | 10.03.1969 | 1987 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 82 | 78 | 86 | 88 | 83.5
00015 | 35 | Ivanova | Nadezhda | Olegovna | 04.01.1992 | 2009 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 72 | 93 | 71 | 99 | 83.75
00016 | 78 | Lytkina | Maria | Mikhailovna | 24.03.1994 | 2012 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 73 | 79 | 94 | 80 | 81.5
00017 | 73 | Kolesnikova | Tamara | Valerievna | 23.06.1973 | 1989 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 87 | 73 | 72 | 99 | 82.75
00018 | 18 | Martynov | Ilya | Nikolaevich | 13.03.1969 | 1986 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 90 | 85 | 95 | 95 | 91.25
00019 | 54 | Krasnov | Yakov | Evgenievich | 06.12.1928 | 1944 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 89 | 72 | 80 | 86 | 81.75
00020 | 63 | Smirnova | Angelina | Stanislavovna | 13.11.1942 | 1959 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 92 | 90 | 87 | 85 | 88.5
00021 | 71 | Gorbunov | Artem | Dmitrievich | 10.05.1956 | 1974 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 76 | 97 | 72 | 82 | 81.75
00022 | 3 | Yakovleva | Eva | Grigorievna | 06.03.1940 | 1956 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 85 | 78 | 70 | 83 | 79
00023 | 38 | Sokolov | Artem | Georgievich | 17.01.1943 | 1960 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 88 | 77 | 80 | 96 | 85.25
