id, Region, Surname, Name, Middle Name, Birthday, Finish Of School, Objects, Marks, Middle Mark
11 | 32 | Suvorov | Vyacheslav | Vsevolodovich | 15.6.1924 | 1942 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 72 | 79 | 70 | 83 | 76.000000
12 | 54 | Kiselyov | Ivan | Lvovich | 22.4.1933 | 1950 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 99 | 77 | 71 | 82 | 82.250000
13 | 28 | Shcherbakov | Evgeniy | Andreevich | 4.12.1949 | 1966 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 96 | 94 | 97 | 98 | 96.250000
14 | 5 | Reshetnikov | Michael | Igorevich | 24.4.1960 | 1978 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 96 | 85 | 97 | 91 | 92.250000
15 | 19 | Sorokin | Evgeniy | Aleksandrovich | 8.6.1982 | 1998 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 87 | 80 | 84 | 85 | 84.000000
16 | 1 | Nesterov | Semyon | Vladimirovich | 20.3.1956 | 1972 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 71 | 86 | 94 | 75 | 81.500000
17 | 68 | Gordeev | Victor | Aleksandrovich | 19.12.1964 | 1982 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 87 | 80 | 94 | 83 | 86.000000
18 | 72 | Shcherbakova | Olga | Viktorovna | 22.3.1985 | 2002 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 95 | 73 | 74 | 95 | 84.250000
19 | 43 | Nesterova | Zinaida | Vsevolodovna | 23.7.1974 | 1992 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 90 | 95 | 92 | 76 | 88.250000
20 | 13 | Kuznetsova | Zinaida | Petrovna | 29.5.2004 | 2022 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 86 | 93 | 73 | 90 | 85.500000
21 | 63 | Chernyaev | Konstantin | Petrovich | 2.12.1996 | 2012 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 76 | 89 | 82 | 88 | 83.750000
22 | 41 | Kiselyov | Leo | Yurievich | 8.2.1995 | 2013 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 79 | 72 | 81 | 72 | 76.000000
23 | 29 | Eaglesa | Zinaida | Andreevna | 23.6.1975 | 1991 | Russian_Language | Mathematics_pro | Physics | Mathematics_DVI | 72 | 99 | 89 | 72 | 83.000000
